,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Hanstholm,100,DK,1575598334,92,57.12,8.61,48.0,27.0
375,Kargat,100,RU,1575598334,98,55.19,80.28,31.96,11.77
376,Kolchugino,100,RU,1575598334,90,56.3,39.38,33.91,14.45
377,Ambon,90,FR,1575598334,100,47.55,-2.56,51.01,4.7
378,Mayumba,99,GA,1575598334,89,-3.44,10.65,77.36,9.51
379,Kaitangata,100,NZ,1575598334,56,-46.28,169.85,63.0,11.65
380,Ovsyanka,100,RU,1575598334,89,53.58,126.91,-6.0,2.3
381,Ketchikan,75,US,1575598334,100,55.34,-131.65,37.4,5.82
382,Belmonte,0,PT,1575598334,87,40.36,-7.35,44.01,5.01
383,Alexandria,0,RO,1575598242,67,43.97,25.33,32.07,4.23
384,Tura,100,RU,1575598334,95,64.27,100.22,-3.39,4.54
385,Haines Junction,100,CA,1575598335,96,60.75,-137.51,1.38,4.23
386,Pierre,90,US,1575598335,80,44.37,-100.35,32.0,13.87
387,Los Llanos de Aridane,75,ES,1575598335,72,28.66,-17.92,64.4,23.04
388,Wageningen,90,NL,1575598335,93,51.98,5.66,43.0,17.22
389,Kozhva,100,RU,1575598335,93,65.11,57.05,11.14,8.01
390,Nenjiang,97,CN,1575598335,89,49.17,125.23,3.36,8.86
391,Shaoguan,0,CN,1575598335,29,24.81,113.59,59.76,3.6
392,Crossville,1,US,1575598335,56,35.95,-85.03,46.4,3.36
393,Soyo,100,AO,1575598335,96,-6.13,12.37,74.26,5.17
394,Namatanai,0,PG,1575598335,70,-3.66,152.44,84.54,3.78
395,Hovd,75,NO,1575598335,97,63.83,10.7,41.0,18.34
396,Catuday,60,PH,1575598335,81,16.29,119.81,79.75,5.73
397,Barcelos,1,BR,1575598335,86,-0.97,-62.93,76.21,1.63
398,Vanimo,100,PG,1575598335,70,-2.67,141.3,82.99,2.17
399,Maceio,3,BR,1575598335,88,-9.67,-35.74,73.4,5.82
400,Tianpeng,0,CN,1575598335,44,28.88,112.34,52.92,8.99
401,Fomboni,23,KM,1575598335,82,-12.28,43.74,82.92,14.23
402,Ukwa,0,NG,1575598335,92,5.47,8.01,74.95,1.79
403,Wuhan,0,CN,1575598335,43,30.6,114.3,41.0,4.47
404,Itarema,58,BR,1575598336,87,-2.92,-39.92,75.69,4.65
405,Mareeba,40,AU,1575598336,62,-16.99,145.42,93.0,8.05
406,Benjamin Constant,75,BR,1575598336,100,-4.38,-70.03,75.2,2.24
407,Rio Claro,20,BR,1575598336,100,-22.41,-47.56,66.2,4.27
408,Ahuimanu,20,US,1575598336,65,21.44,-157.84,80.6,10.29
409,San Quintin,0,PH,1575598336,73,17.54,120.52,82.63,5.35
410,Saquarema,90,BR,1575598336,100,-22.93,-42.51,77.0,9.17
411,Urengoy,89,RU,1575598336,94,65.96,78.37,9.45,12.06
412,Witu,75,KE,1575598336,94,-2.39,40.44,75.2,4.56
413,Kruisfontein,0,ZA,1575598336,53,-34.0,24.73,66.72,9.44
414,Tornio,90,FI,1575598336,80,61.12,27.27,41.0,13.87
415,Gunjur,4,GM,1575598336,68,13.18,-16.76,68.0,8.05
416,Banjar,98,ID,1575598336,50,-7.37,108.54,89.65,3.0
417,Lazaro Cardenas,90,MX,1575598336,42,28.39,-105.62,64.4,5.82
418,Lillooet,90,CA,1575598244,79,50.69,-121.94,28.4,2.24
419,Fort Myers Beach,1,US,1575598294,55,26.45,-81.95,64.4,6.93
420,Natchez,1,US,1575598336,44,31.56,-91.4,60.8,10.29
421,Sibolga,0,ID,1575598336,57,1.74,98.78,86.81,1.66
422,Wilmington,90,US,1575598328,55,39.75,-75.55,42.8,6.93
423,Tanout,0,NE,1575598336,18,14.97,8.88,66.61,9.78
424,Ilinskoye-Khovanskoye,90,RU,1575598336,86,56.97,39.77,37.4,17.9
425,Pangai,40,TO,1575598336,58,-19.8,-174.35,84.2,9.17
426,Pontianak,99,ID,1575598336,81,-0.02,109.34,84.02,2.93
427,Lyuban,0,BY,1575598336,74,52.8,28.0,29.01,12.19
428,Mana,0,NG,1575598336,15,13.03,5.27,68.43,9.44
429,Vila Franca do Campo,20,PT,1575598336,87,37.72,-25.43,53.6,6.93
430,Inhambane,60,MZ,1575598337,71,-23.87,35.38,72.14,8.66
431,Loiza,75,PR,1575598337,88,18.43,-65.88,82.4,7.29
432,Zhigansk,37,RU,1575598337,91,66.77,123.37,-37.17,10.11
433,Benicarlo,99,ES,1575598337,94,40.42,0.43,46.0,1.99
434,Ossora,89,RU,1575598337,84,59.24,163.07,24.49,14.56
435,Cockburn Town,32,TC,1575598337,83,21.46,-71.14,79.21,17.81
436,Bianzhuang,0,CN,1575598337,71,39.44,112.12,20.12,6.29
437,Wittstock,0,DE,1575598337,70,53.37,13.69,33.55,20.2
438,Iquique,0,CL,1575598165,68,-20.22,-70.14,68.0,11.41
439,Middelburg,100,NL,1575598337,93,51.5,3.61,42.01,28.86
440,Tomatlan,0,MX,1575598337,92,19.93,-105.25,66.6,1.86
441,Luau,100,CD,1575598337,98,-10.7,22.23,64.45,1.63
442,Parana,100,BR,1575598337,96,-7.52,-72.89,72.19,1.1
443,Spencer,1,US,1575598338,54,42.24,-71.99,34.0,13.87
444,Sunds,75,DK,1575598338,93,56.2,9.01,48.2,27.51
445,Turukhansk,100,RU,1575598338,93,65.8,87.96,20.1,18.3
446,Iqaluit,75,CA,1575598338,77,63.75,-68.52,5.0,16.11
447,Kisanga,49,CD,1575598338,97,-11.72,27.4,59.85,1.05
448,Ishigaki,75,JP,1575598338,93,24.34,124.16,66.2,23.04
449,Jiutai,0,CN,1575598338,45,44.15,125.84,5.0,13.42
450,Bakal,100,RU,1575598338,86,54.94,58.81,20.26,12.73
451,Buraydah,20,SA,1575598338,63,26.33,43.97,62.6,9.17
452,Hutchinson,90,US,1575598224,66,38.06,-97.93,55.4,12.75
453,Portland,75,US,1575598280,64,43.66,-70.25,37.4,11.41
454,Yarmouth,90,CA,1575598338,64,43.84,-66.12,41.0,12.75
455,Bandarbeyla,100,SO,1575598338,89,9.49,50.81,78.71,33.38
456,Valparaiso,75,US,1575598330,56,41.47,-87.06,44.6,4.7
457,Bloomington,90,US,1575598099,81,40.47,-88.99,48.2,5.82
458,Karasjok,100,NO,1575598338,100,69.47,25.52,15.8,8.05
459,Cabo San Lucas,40,MX,1575598338,78,22.89,-109.91,73.4,2.24
460,Jega,0,NG,1575598338,21,12.22,4.38,69.1,7.78
461,Julfa,90,AZ,1575598338,93,38.95,45.63,35.6,4.7
462,Khandyga,100,RU,1575598338,95,62.65,135.58,-37.3,1.39
463,Great Falls,1,US,1575598338,92,47.5,-111.29,32.0,6.46
464,Ushtobe,100,KZ,1575598338,73,45.25,77.98,40.28,7.34
465,Port Augusta,40,AU,1575598338,59,-32.49,137.76,66.2,14.99
466,Grand Gaube,20,MU,1575598339,88,-20.01,57.66,75.0,5.82
467,Adrar,0,DZ,1575598339,40,27.87,-0.29,51.8,5.82
468,Poronaysk,0,RU,1575598339,62,49.22,143.1,17.49,7.47
469,Linhares,15,BR,1575598339,95,-19.38,-40.06,72.86,5.28
470,Coihaique,23,CL,1575598339,66,-45.58,-72.07,51.8,3.36
471,Sassandra,100,CI,1575598339,92,4.95,-6.09,76.5,6.76
472,Asyut,0,EG,1575598339,82,27.18,31.19,59.0,16.11
473,Upington,40,ZA,1575598339,82,-28.46,21.24,68.0,8.05
474,Mandla,100,IN,1575598339,43,22.6,80.37,63.43,2.51
475,Ukiah,90,US,1575598339,76,39.15,-123.21,55.99,5.82
476,Jalu,33,LY,1575598339,47,29.03,21.55,55.45,5.26
477,San Carlos de Bariloche,75,AR,1575598339,58,-41.13,-71.31,55.4,23.04
478,Perelyub,100,RU,1575598339,93,51.87,50.37,32.52,19.89
479,Praia da Vitoria,75,PT,1575598339,100,38.73,-27.07,57.99,2.26
480,Hofn,100,IS,1575598339,60,64.25,-15.21,34.59,14.81
481,Chernyshevskiy,19,RU,1575598339,92,63.01,112.47,-33.61,1.86
482,Chumikan,97,RU,1575598339,75,54.72,135.31,1.53,16.71
483,Quatre Cocos,20,MU,1575598339,88,-20.21,57.76,75.0,5.82
484,Gamba,85,CN,1575598339,27,28.28,88.52,21.7,1.16
485,Morristown,1,US,1575598227,64,36.21,-83.29,41.0,1.92
486,Bayan,0,CN,1575598340,43,36.1,102.26,19.24,7.25
487,Zemio,10,CF,1575598340,57,5.02,25.13,66.47,1.59
488,Estevan,1,CA,1575598340,100,49.14,-102.99,12.2,8.05
489,San Patricio,0,PY,1575598340,62,-26.98,-56.83,60.01,4.18
490,Mata,0,PT,1575598340,87,40.68,-7.46,46.99,5.01
491,Mecca,0,SA,1575598340,70,21.43,39.83,72.57,1.16
492,Severskaya,0,RU,1575598340,80,44.85,38.68,32.0,6.71
493,Owando,100,CG,1575598341,96,-0.49,15.91,71.74,3.2
494,Noyabrsk,99,RU,1575598341,99,63.2,75.45,0.09,14.76
495,Bukachacha,0,RU,1575598341,75,52.99,116.91,-1.21,2.06
496,Sinop,0,TR,1575598341,66,42.03,35.15,39.29,11.36
497,Atikokan,100,CA,1575598341,89,48.76,-91.62,12.7,10.71
498,Danjiangkou,0,CN,1575598341,72,32.54,111.51,57.99,3.38
499,Benghazi,0,LY,1575598341,46,32.12,20.07,64.36,9.98
500,Hakkari,90,FI,1575598341,93,61.34,23.75,39.2,11.41
501,Narsaq,100,GL,1575598341,41,60.91,-46.05,19.4,2.24
502,Pijijiapan,34,MX,1575598342,74,15.69,-93.21,73.8,3.33
503,Panguna,100,PG,1575598342,78,-6.32,155.48,79.57,3.24
504,Belaya Gora,68,RU,1575598342,98,68.54,146.19,-19.8,6.08
505,Cartagena,75,ES,1575598144,93,37.63,-1.0,59.0,12.75
506,Zyryanka,100,RU,1575598342,92,65.73,150.89,-11.36,23.71
507,Dodge City,90,US,1575598342,70,37.75,-100.02,51.8,26.4
508,Tarut,0,SA,1575598342,77,26.57,50.06,66.2,4.7
509,Tucurui,96,BR,1575598342,91,-3.77,-49.67,75.85,5.86
510,Kondinskoye,11,RU,1575598342,93,59.65,67.41,3.27,10.76
511,Maturin,24,VE,1575598342,97,9.75,-63.18,72.66,4.32
512,Dharmanagar,0,IN,1575598342,67,24.37,92.17,67.03,5.35
513,Muzhi,0,RU,1575598342,97,65.4,64.7,-9.33,4.65
514,Altamont,90,CA,1575598342,100,49.4,-98.5,17.6,4.7
515,Nome,1,US,1575598342,88,30.04,-94.42,64.99,6.93
516,College,1,US,1575598342,75,64.86,-147.8,-18.4,3.98
517,Kuryk,9,KZ,1575598343,67,43.18,51.68,43.0,10.16
518,Savannah Bight,0,HN,1575598343,66,16.45,-85.85,80.4,13.02
519,Mimongo,100,GA,1575598343,99,-1.62,11.6,67.93,2.82
520,Leshukonskoye,100,RU,1575598343,95,64.9,45.76,32.68,10.42
521,Pemba,95,MZ,1575598343,83,-12.97,40.52,78.37,13.44
522,Sines,0,PT,1575598343,73,37.96,-8.87,56.35,18.19
523,Saint-Georges,100,CA,1575598131,85,46.12,-70.67,25.0,8.99
524,Broken Hill,0,AU,1575598343,33,-31.97,141.45,73.4,11.41
525,Kilinochchi,100,LK,1575598343,84,9.4,80.4,79.43,15.59
526,Olavarria,50,AR,1575598343,37,-36.89,-60.32,64.87,13.22
527,Makakilo City,90,US,1575598343,69,21.35,-158.09,80.6,12.75
528,Drochia,0,MD,1575598343,75,48.03,27.81,27.61,4.59
529,Kharabali,52,RU,1575598343,93,47.41,47.25,28.42,11.12
530,Mutis,23,CO,1575598343,83,6.23,-77.4,80.31,7.87
531,Clinton,90,US,1575598343,59,41.28,-72.53,39.2,4.7
532,Aguimes,75,ES,1575598343,77,27.91,-15.45,62.6,14.99
533,Mount Isa,100,AU,1575598343,5,-20.73,139.49,100.4,5.82
534,Taoudenni,100,ML,1575598343,27,22.68,-3.98,60.69,4.07
535,Varhaug,75,NO,1575598343,100,58.61,5.65,48.2,10.29
536,Marsa Matruh,100,EG,1575598344,68,31.35,27.25,64.4,6.93
537,Bubaque,0,GW,1575598344,63,11.28,-15.83,77.83,17.65
538,Sandwick,90,GB,1575598344,100,54.57,-2.89,50.0,28.86
539,Zalari,40,RU,1575598344,89,53.57,102.52,11.48,11.99
540,Rosetta,40,EG,1575598344,60,31.4,30.42,68.0,11.41
541,Honningsvag,100,NO,1575598159,82,70.98,25.97,37.81,10.94
542,Cherskiy,100,RU,1575598344,66,68.75,161.3,3.22,9.82
543,Yining,0,CN,1575598344,44,29.04,114.56,50.92,5.46
544,Nuuk,20,GL,1575598344,72,64.17,-51.74,14.0,16.11
545,Point Fortin,20,TT,1575598344,88,10.16,-61.68,78.8,12.93
546,Araouane,62,ML,1575598344,27,18.9,-3.53,68.79,5.61
547,Deputatskiy,100,RU,1575598344,100,69.3,139.9,-19.55,2.17
548,Lompoc,40,US,1575598344,82,34.64,-120.46,59.0,13.18
549,Arman,94,RU,1575598344,87,59.7,150.17,4.08,18.3
550,Lethem,58,GY,1575598344,64,3.38,-59.8,82.17,9.15
551,Angoche,84,MZ,1575598344,82,-16.23,39.91,78.44,6.96
552,Lumberton,1,US,1575598344,88,30.27,-94.2,64.4,6.93
553,Skibbereen,90,IE,1575598344,100,51.55,-9.27,51.8,14.99
554,Avera,1,US,1575598344,93,33.19,-82.53,48.0,3.4
555,Sept-Iles,90,CA,1575598130,92,50.2,-66.38,23.0,3.36
556,Songjianghe,0,CN,1575598345,85,42.18,127.48,6.4,7.25
557,Lewistown,90,US,1575598345,70,40.39,-90.15,48.2,4.7
